77,38
98,89
3,27
88,98
72,91
45,2
12,92
84,90
21,20
11,72
50,55
51,71
13,97
19,64
76,54
98,49
36,92
53,6
89,78
74,76
49,42
100,76
79,29
94,3
69,90
73,77
14,7
36,43
73,83
88,60
74,71
72,38
39,66
57,8
39,70
2,21
41,70
5,7
86,9
15,93
64,25
17,2
93,17
87,66
73,29
17,33
77,35
41,49
38,18
50,42
97,41
65,73
16,58
82,90
30,98
93,3
11,16
80,41
23,73
90,91
30,80
96,56
44,10
7,6
34,10
32,64
58,24
86,46
35,26
90,46
92,66
66,38
63,78
99,65
15,60
3,83
93,4
89,63
89,88
13,43
46,40
3,41
53,64
42,86
17,69
63,17
68,9
43,17
90,12
86,95
40,1
44,4
86,6
85,50
68,94
43,21
56,45
66,23
64,89
89,72
22,12
22,82
28,89
5,56
32,88
69,100
70,16
37,15
9,63
24,7
64,69
68,63
32,44
60,75
48,14
36,96
78,4
86,46
20,36
3,71
65,25
72,72
93,93
11,3
93,63
88,32
6,20
63,64
52,95
31,100
19,62
54,38
87,51
92,65
15,87
60,57
86,86
87,39
33,1
61,58
31,69
35,58
81,84
41,53
52,31
93,84
41,76
5,99
70,93
41,20
40,86
74,2
7,76
80,65
86,36
38,76
45,43
34,88
77,32
14,54
97,23
61,28
18,85
47,19
75,26
23,21
2,32
24,69
59,54
31,11
17,10
65,54
42,34
41,44
78,3
59,88
90,10
36,35
77,70
100,36
21,94
14,67
11,77
2,41
21,51
21,99
64,46
89,9
33,23
65,58
100,82
7,87
55,49
43,57
88,95
68,89
6,56
28,56
87,42
22,24
